C,SETP.WORLD,FPP_DCF,AEMO,PUBLIC,2025/04/29,18:23:21,0000000461200046,FPP,0000000461200046
I,FPP,FORECAST_DEFAULT_CF,1,FPP_UNITID,CONSTRAINTID,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,VERSIONNO,BIDTYPE,REGIONID,DEFAULT_CONTRIBUTION_FACTOR,DCF_REASON_FLAG,DCF_ABS_NEGATIVE_PERF_TOTAL,SETTLEMENTS_UNITID
D,FPP,FORECAST_DEFAULT_CF,1,ADPBA1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00011645,0,356.21633,ADPBA1
D,FPP,FORECAST_DEFAULT_CF,1,ADPPV1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00024002,0,356.21633,ADPPV1
D,FPP,FORECAST_DEFAULT_CF,1,AGLHAL,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00038611,0,356.21633,AGLHAL
D,FPP,FORECAST_DEFAULT_CF,1,AGLSOM,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00062734,0,356.21633,AGLSOM
D,FPP,FORECAST_DEFAULT_CF,1,ALDGASF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,ALDGASF1
D,FPP,FORECAST_DEFAULT_CF,1,ANGAST1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00003329,0,356.21633,ANGAST1
D,FPP,FORECAST_DEFAULT_CF,1,APD_LOAD,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00366117,0,356.21633,VAPD
D,FPP,FORECAST_DEFAULT_CF,1,ARWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00326580,0,356.21633,ARWF1
D,FPP,FORECAST_DEFAULT_CF,1,AVLSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00681732,0,356.21633,AVLSF1
D,FPP,FORECAST_DEFAULT_CF,1,BALB1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00000003,0,356.21633,BALB1
D,FPP,FORECAST_DEFAULT_CF,1,BALDHWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00189214,0,356.21633,BALDHWF1
D,FPP,FORECAST_DEFAULT_CF,1,BANGOWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00325979,0,356.21633,BANGOWF1
D,FPP,FORECAST_DEFAULT_CF,1,BANGOWF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00223387,0,356.21633,BANGOWF2
D,FPP,FORECAST_DEFAULT_CF,1,BANN1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00103513,0,356.21633,BANN1
D,FPP,FORECAST_DEFAULT_CF,1,BARCALDN,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00006897,0,356.21633,BARCALDN
D,FPP,FORECAST_DEFAULT_CF,1,BARCSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00027034,0,356.21633,BARCSF1
D,FPP,FORECAST_DEFAULT_CF,1,BARKIPS1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00178358,0,356.21633,BARKIPS1
D,FPP,FORECAST_DEFAULT_CF,1,BARRON-1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,BARRON-1
D,FPP,FORECAST_DEFAULT_CF,1,BARRON-2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,BARRON-2
D,FPP,FORECAST_DEFAULT_CF,1,BASTYAN,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00031343,0,356.21633,BASTYAN
D,FPP,FORECAST_DEFAULT_CF,1,BBATTERY1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00088008,0,356.21633,BBATTERY1
D,FPP,FORECAST_DEFAULT_CF,1,BBTHREE1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00006269,0,356.21633,BBTHREE1
D,FPP,FORECAST_DEFAULT_CF,1,BBTHREE2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00000146,0,356.21633,BBTHREE2
D,FPP,FORECAST_DEFAULT_CF,1,BBTHREE3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,0.00000000,0,356.21633,BBTHREE3
D,FPP,FORECAST_DEFAULT_CF,1,BDL01,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,0.00000000,0,356.21633,BDL01
D,FPP,FORECAST_DEFAULT_CF,1,BDL02,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,0.00000000,0,356.21633,BDL02
D,FPP,FORECAST_DEFAULT_CF,1,BERYLSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00395731,0,356.21633,BERYLSF1
D,FPP,FORECAST_DEFAULT_CF,1,BHB1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00009292,0,356.21633,BHB1
D,FPP,FORECAST_DEFAULT_CF,1,BLOWERNG,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00001112,0,356.21633,BLOWERNG
D,FPP,FORECAST_DEFAULT_CF,1,BLUEGSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00533985,0,356.21633,BLUEGSF1
D,FPP,FORECAST_DEFAULT_CF,1,BLUFF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00072652,0,356.21633,BLUFF1
D,FPP,FORECAST_DEFAULT_CF,1,BLYTHB1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00093056,0,356.21633,BLYTHB1
D,FPP,FORECAST_DEFAULT_CF,1,BNGSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00390911,0,356.21633,BNGSF1
D,FPP,FORECAST_DEFAULT_CF,1,BNGSF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00387801,0,356.21633,BNGSF2
D,FPP,FORECAST_DEFAULT_CF,1,BOCORWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00306173,0,356.21633,BOCORWF1
D,FPP,FORECAST_DEFAULT_CF,1,BODWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00326566,0,356.21633,BODWF1
D,FPP,FORECAST_DEFAULT_CF,1,BOLIVPS1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00007465,0,356.21633,BOLIVPS1
D,FPP,FORECAST_DEFAULT_CF,1,BOMENSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00294304,0,356.21633,BOMENSF1
D,FPP,FORECAST_DEFAULT_CF,1,BOWWBA1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00004542,0,356.21633,BOWWBA1
D,FPP,FORECAST_DEFAULT_CF,1,BOWWPV1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00009522,0,356.21633,BOWWPV1
D,FPP,FORECAST_DEFAULT_CF,1,BOYNE_LOAD,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00171685,0,356.21633,QBOH
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00019457,0,356.21633,BRAEMAR1
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00003950,0,356.21633,BRAEMAR2
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR3,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00016265,0,356.21633,BRAEMAR3
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR5,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00020134,0,356.21633,BRAEMAR5
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR6,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,0.00000000,0,356.21633,BRAEMAR6
D,FPP,FORECAST_DEFAULT_CF,1,BRAEMAR7,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00003520,0,356.21633,BRAEMAR7
D,FPP,FORECAST_DEFAULT_CF,1,BROKENH1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00059436,0,356.21633,BROKENH1
D,FPP,FORECAST_DEFAULT_CF,1,BRYB1WF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00289122,0,356.21633,BRYB1WF1
D,FPP,FORECAST_DEFAULT_CF,1,BRYB2WF2,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00154642,0,356.21633,BRYB2WF2
D,FPP,FORECAST_DEFAULT_CF,1,BULBES1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00019935,0,356.21633,BULBES1
